"","X","Section","research_center","site_type","name","site_name","country","state_region","zip","study_name","study_location","study_field_location","city","lat","lon","address"
"1",1,"Section 3.2 Research Center Structure Purpose","WAC-EID","research_center","","","","","","","","","",NA,NA,""
"2",2,"Section 3.2 Research Center Structure Purpose","EEIDI","research_center","","","","","","","","","",NA,NA,""
"3",3,"Section 3.2 Research Center Structure Purpose","CREATE-NEO","research_center","","","","","","","","","",NA,NA,""
"4",4,"Section 3.2 Research Center Structure Purpose","UWARN","research_center","","","","","","","","","",NA,NA,""
"5",5,"Section 3.2 Research Center Structure Purpose","PICREID","research_center","","","","","","","","","",NA,NA,""
"6",6,"Section 3.2 Research Center Structure Purpose","A2CARES","research_center","","","","","","","","","",NA,NA,""
"7",7,"Section 3.2 Research Center Structure Purpose","CREID-ESP","research_center","","","","","","","","","",NA,NA,""
"8",8,"Section 3.2 Research Center Structure Purpose","EID-SEARCH","research_center","","","","","","","","","",NA,NA,""
"9",9,"Section 3.2 Research Center Structure Purpose","WARN-ID","research_center","","","","","","","","","",NA,NA,""
"10",10,"Section 3.2 Research Center Structure Purpose","CREID-ECA","research_center","","","","","","","","","",NA,NA,""
"11",11,"Section 3 Partner Information","WAC-EID","partners","University of Washington","","US","Washington ","98195","","","","Seattle ",47.6062095,-122.3320708,"seattle, wa, usa"
"12",12,"Section 3 Partner Information","WAC-EID","partners","Duke- NUS Medical School","","n/a","n/a","169857","","","","Singapore",1.352083,103.819836,"singapore"
"13",13,"Section 3 Partner Information","WAC-EID","partners","UC Davis","","US","California","95616","","","","Davis",38.5449065,-121.7405167,"davis, ca, usa"
"14",14,"Section 3 Partner Information","EEIDI","partners","Bwindi Community Hospital","","Uganda","Western Region","","","","","Bwindi",-1.0521495,29.6201006,"bwindi impenetrable forest, uganda"
"15",15,"Section 3 Partner Information","EEIDI","partners","Rugarama Hospital","","Uganda","Western Region","","","","","Kabale",-1.241956,29.9856157,"kabale, uganda"
"16",16,"Section 3 Partner Information","EEIDI","partners","Mountain Gorilla Veterinary Project","","Uganda","","","","","","Kampla",0.347596,32.58252,""
"17",17,"Section 3 Partner Information","EEIDI","partners","Uganda Virus Research Institute","","Uganda","Central Region","","","","","Entebbe",0.0511839,32.463708,"entebbe, uganda"
"18",18,"Section 3 Partner Information","EEIDI","partners","Pontificia Universidad Católica del Perú Genomics Lab","","Peru","Lima Region","","","","","Lima",-12.0463731,-77.042754,"lima, peru"
"19",19,"Section 3 Partner Information","EEIDI","partners","Kading Laboratory at Colorado State University","","USA","CO","80523","","","","Fort Collins, CO",40.5852602,-105.084423,"fort collins, co, usa"
"20",20,"Section 3 Partner Information","EEIDI","partners","Valerie Paz-Soldan at Tulane University Health Office for Latin America","","Peru","Lima Region","","","","","Lima",-12.0463731,-77.042754,"lima, peru"
"21",21,"Section 3 Partner Information","EEIDI","partners","Colleagues at CDC Viral Special Pathogens Branch","","USA","GA","","","","","Atlanta",33.7489954,-84.3879824,"atlanta, ga, usa"
"22",22,"Section 3 Partner Information","CREATE-NEO","partners","Massachusetts Institute of Technology","","USA","MA","2139","","","","Cambridge",42.373611,-71.110558,"77 Massachusetts Avenue Cambridge, MA 02139"
"23",23,"Section 3 Partner Information","CREATE-NEO","partners","Cary Institute of Ecosystem Studies","","United States","NY","12545","","","","Millbrook",41.7850937,-73.6940175,"millbrook, ny 12545, usa"
"24",24,"Section 3 Partner Information","CREATE-NEO","partners","","","","","","","","","",NA,NA,""
"25",25,"Section 3 Partner Information","UWARN","partners","University of Washington","","USA","WA","98109","","","","Seattle",47.6062095,-122.3320708,"seattle, wa, usa"
"26",26,"Section 3 Partner Information","UWARN","partners","Fred Hutchinson Cancer Research Center","","USA","Washington","98109","","","","Seattle",47.6062095,-122.3320708,"seattle, wa, usa"
"27",27,"Section 3 Partner Information","UWARN","partners","Washington State Department of Health","","USA","Washington","98501","","","","Tumwater",47.0073187,-122.9093063,"tumwater, wa, usa"
"28",28,"Section 3 Partner Information","UWARN","partners","The Rockefeller University","","USA","NY","10065","","","","New York",40.7127753,-74.0059728,"new york, ny, usa"
"29",29,"Section 3 Partner Information","UWARN","partners","Institute for Research in Biomedicine","","Switzerland","Bellinzona","CH-6500","","","","",NA,NA,""
"30",30,"Section 3 Partner Information","UWARN","partners","FIOCRUZ","","Brazil","RJ","21040-900","","","","Rio de Janeiro",-22.9068467,-43.1728965,"rio de janeiro, state of rio de janeiro, brazil"
"31",31,"Section 3 Partner Information","UWARN","partners","KRISP, University of Kwa-Zuku Natal","","Republic of South Africa","","","","","","Durban",-29.8586804,31.0218404,"durban, south africa"
"32",32,"Section 3 Partner Information","UWARN","partners","IRESSEF ","","Senegal","","","","","","Dakar",14.716677,-17.4676861,"dakar, senegal"
"33",33,"Section 3 Partner Information","UWARN","partners","Aga Khan University (AKU) ","","Pakistan","","74800","","","","Karachi",24.8607343,67.0011364,"karachi, karachi city, sindh, pakistan"
"34",34,"Section 3 Partner Information","UWARN","partners","Research Center for Emerging Viral Infections(RCEVI), Chang Gung University (CGU)","","Taiwan","","333","","","","Taoyuan, Taipei",24.9553806,121.2300015,"taoyuan, taoyuan district, taoyuan city, taiwan"
"35",35,"Section 3 Partner Information","PICREID","partners","Institut Pasteur du Cambodge","","Cambodia"," -"," -","","","","Phnom Penh",11.5563738,104.9282099,"phnom penh, cambodia"
"36",36,"Section 3 Partner Information","PICREID","partners","Centre Pasteur du Cameroun","","Cameroon","Centre","1274","","","","Yaoundé",3.8480325,11.5020752,"yaound�, cameroon"
"37",37,"Section 3 Partner Information","PICREID","partners","Institut Pasteur de Dakar","","Senegal"," -"," -","","","","Dakar",14.716677,-17.4676861,"dakar, senegal"
"38",38,"Section 3 Partner Information","PICREID","partners","Centre for Research in Infectious Diseases (CRID)","","Cameroon"," -"," -","","","","Yaoundé",3.8480325,11.5020752,"yaound�, cameroon"
"39",39,"Section 3 Partner Information","PICREID","partners","University of Leipzig","","Germany","","D-04103 ","","","","Leipzig ",51.3396955,12.3730747,"leipzig, germany"
"40",40,"Section 3 Partner Information","PICREID","partners","Kyoto University","","Japan","","606-8507","","","","Sakyo, Kyoto",35.1630759,135.8089934,"sakyo ward, kyoto, japan"
"41",41,"Section 3 Partner Information","PICREID","partners","Institut Pasteur","","France","","75015","","","","Paris",48.856614,2.3522219,"paris, france"
"42",42,"Section 3 Partner Information","PICREID","partners","Centre Pasteur du cameroun","","Cameroon","Centre","1274","","","","Yaounde",3.8480325,11.5020752,"yaound�, cameroon"
"43",43,"Section 3 Partner Information","A2CARES","partners","Nicaraguan National Virology Laboratory","","Nicaragua","Managua","0","","","","Managua",12.1149926,-86.2361744,"managua, nicaragua"
"44",44,"Section 3 Partner Information","A2CARES","partners","Harris laboratory at the University of California, Berkeley","","USA","CA","94720-3370","","","","Berkeley",37.8715226,-122.273042,"berkeley, ca, usa"
"45",45,"Section 3 Partner Information","A2CARES","partners","Sustainable Sciences Institute","","Nicaragua","","","","","","Managua",12.1149926,-86.2361744,"managua, nicaragua"
"46",46,"Section 3 Partner Information","A2CARES","partners","Centro de Salud Edgar Lang","","Nicaragua","","","","","","Managua",12.1149926,-86.2361744,"managua, nicaragua"
"47",47,"Section 3 Partner Information","A2CARES","partners","AMOS Health and Hope","","Nicaragua","Nejapa","","","","","Managua",12.1149926,-86.2361744,"managua, nicaragua"
"48",48,"Section 3 Partner Information","A2CARES","partners","INSPI-Quito","","Ecuador","Pichincha","170136","","","","Quito",-0.1806532,-78.4678382,"quito, ecuador"
"49",49,"Section 3 Partner Information","A2CARES","partners","INBIOMED-Universidad Central del Ecuador","","Ecuador","Pichincha","","","","","Quito",-0.1806532,-78.4678382,"quito, ecuador"
"50",50,"Section 3 Partner Information","A2CARES","partners","USFQ Microbiology institute","","Ecuador","Pichincha","","","","","Cumbaya Quito",-0.2107252,-78.4410895,"cumbay�, quito, ecuador"
"51",51,"Section 3 Partner Information","A2CARES","partners","Base Hospital  ","","Sri Lanka","","","","","","Kantale",6.028849,80.785576,"Kantale. Sri Lanka 31306"
"52",52,"Section 3 Partner Information","A2CARES","partners","National Centre for primary care, University of Sri Jayewardenepura ","","Sri Lanka","","","","","","Gangodawila",6.872916,79.888634,"Gangodawila, Nugegoda, Sri Lanka"
